id_congestion,fecha,hora,distrito,avenida_via,condicion_clima,tipo_evento,vehiculo_predominante,velocidad_promedio,flujo_vehicular,congestion_score,tiempo_viaje
1,2026-03-22,17,Comas,Av. Universitaria,Niebla,Manifestacion,Moto,49.17,302,78.39,25
2,2026-04-03,14,San Martin de Porres,Av. Universitaria,Despejado,Ninguno,Moto,45.2,453,64.59,111
3,2026-10-21,9,Independencia,Av. Universitaria,Niebla,Accidente,Moto,31.12,476,80.13,17
4,2026-05-19,14,San Martin de Porres,Av. Universitaria,Despejado,Accidente,Moto,35.46,85,55.78,58
5,2026-09-30,18,Independencia,Av. Universitaria,Niebla,Ninguno,Camion,47.63,312,83.02,116
6,2026-01-31,8,Independencia,Av. Universitaria,Llovizna,Accidente,Bus,70.07,543,92.52,11
7,2026-07-31,22,Carabayllo,Av. Universitaria,Llovizna,Ninguno,Bus,30.53,304,30.93,10
8,2026-04-25,2,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Particular,37.1,432,30.47,123
9,2026-05-17,9,Independencia,Av. Universitaria,Niebla,Obras Civiles,Bus,21.03,339,77.34,19
10,2026-07-26,6,San Martin de Porres,Av. Universitaria,Despejado,Obras Civiles,Particular,75.91,140,29.33,6
11,2027-01-31,14,Independencia,Av. Universitaria,Despejado,Accidente,Particular,68.63,467,68.68,53
12,2027-04-07,13,San Martin de Porres,Av. Universitaria,Niebla,Ninguno,Moto,14.42,316,67.81,5
13,2026-07-17,9,Independencia,Av. Universitaria,Despejado,Accidente,Moto,56.95,265,75.31,42
14,2026-01-09,15,Independencia,Av. Universitaria,Despejado,Obras Civiles,Particular,49.68,107,74.97,66
15,2026-02-06,14,San Martin de Porres,Av. Universitaria,Llovizna,Manifestacion,Particular,66.04,409,63.2,84
16,2026-05-06,11,Los Olivos,Av. Universitaria,Despejado,Obras Civiles,Bus,27.75,432,69.19,15
17,2026-11-21,3,San Martin de Porres,Av. Universitaria,Niebla,Obras Civiles,Particular,69.27,170,43.1,16
